
2025-05-07 08:11:31 - Procesando archivo: /tmp/php8yDBzQ
2025-05-07 08:11:33 - Total de filas en el archivo: 2967
2025-05-07 08:11:33 - Generando cuerpo del Excel
2025-05-07 08:11:33 - Generando fila para: Andrés Cruz (Fila Excel: 2)
2025-05-07 08:11:33 - Escribiendo cargo 'Delivery Support' en fila 2, columna 1
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 14 (fecha 03/12/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 15 (fecha 03/13/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:01:00' en fila 7, columna 16 (fecha 03/14/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 7, columna 17 (fecha 03/15/2025)
2025-05-07 08:11:33 - Escribiendo registro '17:02:00' en fila 7, columna 18 (fecha 03/16/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 19 (fecha 03/17/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 20 (fecha 03/18/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:31:00' en fila 7, columna 21 (fecha 03/19/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 22 (fecha 03/20/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 23 (fecha 03/21/2025)
2025-05-07 08:11:33 - Escribiendo registro '17:00:00' en fila 7, columna 24 (fecha 03/22/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 7, columna 25 (fecha 03/23/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 26 (fecha 03/24/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 27 (fecha 03/25/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 28 (fecha 03/26/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 29 (fecha 03/27/2025)
2025-05-07 08:11:33 - Escribiendo registro '11:00:00' en fila 7, columna 30 (fecha 03/28/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 7, columna 31 (fecha 03/29/2025)
2025-05-07 08:11:33 - Escribiendo registro '15:59:00' en fila 7, columna 32 (fecha 03/30/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 7, columna 33 (fecha 03/31/2025)
2025-05-07 08:11:33 - Generando fila para: David Mosquera (Fila Excel: 8)
